Accession;Gene;Protein;Disease/Condition;Sample;Change;Authorship;Study
Q5VT25;CDC42BPA;Serine/threonine-protein kinase MRCK alpha ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9NY56;OBP2A;Odorant-binding protein 2a ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q68BL8;OLFML2B;Olfactomedin-like protein 2B ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9UPR0;PLCL2;Inactive phospholipase C-like protein 2 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q496M5;PLK5;Inactive serine/threonine-protein kinase PLK5 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q4JCP9;ACTN3;ACTN3 protein ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9P0K7;RAI14;Ankycorbin ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9Y4C8;RBM19;Probable RNA-binding protein 19 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9HBR0;SLC38A10;Putative sodium-coupled neutral amino acid transporter 10 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q8NF91;SYNE1;Nesprin-1 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q8IZJ6;TDH;Inactive L-threonine 3-dehydrogenase, mitochondrial ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q8IU68;TMC8;Transmembrane channel-like protein 8 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q6P5X7;TMEM71;Transmembrane protein 71;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P02787;TF;Serotransferrin ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9BZW7;TSGA10;Testis-specific gene 10 protein ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9H2Y7;ZNF106;Zinc finger protein 106 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96SE7;ZNF347;Zinc finger protein 347 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96H40;ZNF486;Zinc finger protein 486 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q08AN1;ZNF616;Zinc finger protein 616;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
B4DXR9;ZNF732;Zinc finger protein 732;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
A0AVL2;NRAP;NRAP protein ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
A0JLP2;SEMG1;SEMG1 protein ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P02763;ORM1;Alpha-1-acid glycoprotein 1 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9UHB7;AFF4;AF4/FMR2 family member 4 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9NP61;ARFGAP3;ADP-ribosylation factor GTPase-activating protein 3 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
B2D1N3;CDKN1C;Cyclin-dependent kinase inhibitor 1C transcript variant 3;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9H0B3;KIAA1683;Uncharacterized protein KIAA1683;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
B7ZLE5;FN1;FN1 protein;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q15059;BRD3;Bromodomain-containing protein 3 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
C8CHS3;ECM1;Truncated extracellular matrix protein 1;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q0P641;C2orf80;Uncharacterized protein C2orf80;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P16870;CPE;Carboxypeptidase E ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P13987;CD59;CD59 glycoprotein ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q12873;CHD3;Chromodomain-helicase-DNA-binding protein 3 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q6ZUT6;C15orf52;Uncharacterized protein C15orf52;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P13671;C6;Complement component C6;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P13611;VCAN;Versican core protein ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q14195;DPYSL3;Dihydropyrimidinase-related protein 3 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P56851;EDDM3B;Epididymal secretory protein E3-beta ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P52948;NUP98;Nuclear pore complex protein Nup98-Nup96 [Cleaved into: Nuclear pore complex protein Nup98 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q13177;PAK2;Serine/threonine-protein kinase PAK 2 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P42338;PIK3CB;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q5SZL3;TBC1D7;TBC1 domain family member 7 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q7Z4Q8;PAQR6;Progestin and adipoQ receptor family member 6 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96IZ5;RBM41;RNA-binding protein 41 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P07602;PSAP;Prosaposin ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9H254;SPTBN4;Spectrin beta chain, non-erythrocytic 4 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q5QJ38;TCHHL1;Trichohyalin-like protein 1 ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q8NB66;UNC13C;Protein unc-13 homolog C ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P04275;VWF;von Willebrand factor ;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9H091;ZMYND15;Zinc finger MYND domain-containing protein 15;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9HCE3;ZNF532;Zinc finger protein 532;Spinal Cord Injury;Seminal plasma;-;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P01036 ;CST4;Cystatin-S ;Teratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P15309 ;ACPP;Prostatic acid phosphatase ;Teratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P02763 ;ORM1;Alpha-1-acid glycoprotein 1 ;Teratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01009 ;SERPINA1;Alpha-1-antitrypsin ;Teratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q06AH7 ;TF;Transferrin;Teratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P03973 ;SLPI;Antileukoproteinase ;Teratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P62979 ;RPS27A;Ubiquitin-40S ribosomal protein S27a ;Teratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
Q13332 ;PTPRS;Receptor-type tyrosine-protein phosphatase S ;Teratozoospermia;Seminal plasma;+;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P54107 ;CRISP1;Cysteine-rich secretory protein 1 ;Teratozoospermia;Seminal plasma;-;Sharma et al. 2013;Functional proteomic analysis of seminal plasma proteins in men with various semen parameters
P01215;CGA;Choriogonadotropin alpha chain;Teratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Teratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Teratozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P43358;MAGEA4;Melanoma-associated antigen 4;"Testicular cancer
";Seminal plasma;+;Satie et al. 2009;"Seminal expression of NY-ESO-1 and MAGE-A4 as markers for the testicular cancer
for the testicular cancer"
P78358;CTAG1A;Cancer/testis antigen 1;"Testicular cancer
";Seminal plasma;+;Satie et al. 2009;"Seminal expression of NY-ESO-1 and MAGE-A4 as markers for the testicular cancer
for the testicular cancer"
P08758;ANXA5;Annexin A5 ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P10909;CLU;Clusterin ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P49221;TGM4;Protein-glutamine gamma-glutamyltransferase 4 ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P25311;AZGP1;Zinc-alpha-2-glycoprotein ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P00338;LDHA;L-lactate dehydrogenase A chain ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P08238;HSP90AB1;Heat shock protein HSP 90-beta ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P07900;HSP90AA1;Heat shock protein HSP 90-alpha ;Varicocele;Seminal plasma;+;Camargo et al 2012;Unbiased label-free quantitative proteomic profiling and enriched proteomic pathways in seminal plasma of adult men before and after varicocelectomy
P25445;FAS;SOLUBLE! Tumor necrosis factor receptor superfamily member 6;Varicocele;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
P08294;SOD3;Extracellular superoxide dismutase [Cu-Zn];Varicocele;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
O75715;GPX5;Epididymal secretory glutathione peroxidase;Varicocele;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
P04040;CAT;Catalase;Varicocele;Seminal plasma;-;Tawadrous et al. 2013;Seminal Soluble Fas Relationship With Oxidative Stress in Infertile Men With Varicocele
P01178;OXT;Oxytocin-neurophysin 1;Varicocele;Seminal plasma;+;Mostafa et al. 2015;Seminal plasma oxytocin and oxidative stress levels in infertile men with varicocele
O75715;GPX5;Epididymal secretory glutathione peroxidase;Varicocele;Seminal plasma;-;Mostafa et al. 2015;Seminal plasma oxytocin and oxidative stress levels in infertile men with varicocele
Q07812;BAX ;Apoptosis regulator BAX;Varicocele;Seminal plasma;+;Mostafa et al. 2014;Seminal BAX and BCL2 Gene and Protein Expressions in Infertile Men With Varicocele
